timestamp,participant_id,trial_no,item_id,scenario,text,true_source,participant_choice,correct,confidence,warmth_rating,rt_ms
2026-04-01T01:09:47,1,1,6,朋友失恋后整晚睡不着,你现在反复想起这段关系是很正常的。不要要求自己立刻恢复，情绪需要时间消化，你已经在经历一个不容易的过程。,ai,ai,1,5,1,23066
2026-04-01T01:10:30,1,2,4,同学被导师批评后怀疑自己,我能理解你现在的受挫感。导师的反馈虽然刺耳，但通常针对的是当前表现，而不是你这个人本身。你并不是没有能力。,ai,ai,1,5,4,42387
2026-04-01T01:10:41,1,3,2,朋友考研失败后很沮丧,你现在感到失落是完全可以理解的。一次结果不能定义你的价值，你已经很努力了，休息一下之后我们可以一起梳理下一步。,ai,ai,1,5,5,11577
2026-04-01T01:10:48,1,4,1,朋友考研失败后很沮丧,这次没有上岸一定很难受，但这不等于你不行。先让自己缓一缓，等情绪过去一点，我们再一起看哪里还能调整。,human,ai,0,5,5,6712
2026-04-01T01:10:54,1,5,3,同学被导师批评后怀疑自己,被导师批评真的会让人一下子泄气，但被指出问题不代表你没有潜力。很多时候，这只是成长里很刺耳的一步。,human,ai,0,5,5,6008
2026-04-01T01:10:58,1,6,5,朋友失恋后整晚睡不着,失恋最难熬的就是晚上，脑子停不下来。你不用逼自己马上放下，先撑过这几天就已经很不容易了。,human,ai,0,5,5,3592
2026-04-01T01:30:28,2,1,6,朋友失恋后整晚睡不着,你现在反复想起这段关系是很正常的。不要要求自己立刻恢复，情绪需要时间消化，你已经在经历一个不容易的过程。,ai,ai,1,5,1,10473
2026-04-01T01:30:38,2,2,1,朋友考研失败后很沮丧,这次没有上岸一定很难受，但这不等于你不行。先让自己缓一缓，等情绪过去一点，我们再一起看哪里还能调整。,human,ai,0,5,3,9490
2026-04-01T01:30:42,2,3,4,同学被导师批评后怀疑自己,我能理解你现在的受挫感。导师的反馈虽然刺耳，但通常针对的是当前表现，而不是你这个人本身。你并不是没有能力。,ai,ai,1,5,3,3904
2026-04-01T01:30:46,2,4,2,朋友考研失败后很沮丧,你现在感到失落是完全可以理解的。一次结果不能定义你的价值，你已经很努力了，休息一下之后我们可以一起梳理下一步。,ai,ai,1,5,3,4688
2026-04-01T01:30:49,2,5,3,同学被导师批评后怀疑自己,被导师批评真的会让人一下子泄气，但被指出问题不代表你没有潜力。很多时候，这只是成长里很刺耳的一步。,human,ai,0,5,3,2736
2026-04-01T01:30:52,2,6,5,朋友失恋后整晚睡不着,失恋最难熬的就是晚上，脑子停不下来。你不用逼自己马上放下，先撑过这几天就已经很不容易了。,human,ai,0,5,3,3209
2026-04-01T01:59:29,1,1,6,朋友失恋后整晚睡不着,你现在反复想起这段关系是很正常的。不要要求自己立刻恢复，情绪需要时间消化，你已经在经历一个不容易的过程。,ai,human,0,3,3,69528
2026-04-01T01:59:35,1,2,3,同学被导师批评后怀疑自己,被导师批评真的会让人一下子泄气，但被指出问题不代表你没有潜力。很多时候，这只是成长里很刺耳的一步。,human,ai,0,3,3,5680
2026-04-01T01:59:38,1,3,2,朋友考研失败后很沮丧,你现在感到失落是完全可以理解的。一次结果不能定义你的价值，你已经很努力了，休息一下之后我们可以一起梳理下一步。,ai,ai,1,3,3,2495
2026-04-01T01:59:41,1,4,5,朋友失恋后整晚睡不着,失恋最难熬的就是晚上，脑子停不下来。你不用逼自己马上放下，先撑过这几天就已经很不容易了。,human,ai,0,3,3,3728
2026-04-01T01:59:44,1,5,4,同学被导师批评后怀疑自己,我能理解你现在的受挫感。导师的反馈虽然刺耳，但通常针对的是当前表现，而不是你这个人本身。你并不是没有能力。,ai,ai,1,3,3,2679
2026-04-01T01:59:46,1,6,1,朋友考研失败后很沮丧,这次没有上岸一定很难受，但这不等于你不行。先让自己缓一缓，等情绪过去一点，我们再一起看哪里还能调整。,human,ai,0,3,3,1920
